,URL_length,privacy_policy,contact_information,feedback_score,load_time,broken_links,new_tech,time_elapsed,content_similarity,update_size,update_frequency,number_of_changes,certificate_authority,SSL_encrption_strength,self_signed_certificate,digital_signature_validity,san_matches_domain,trusted_seal,certification_bey_validity,certification_not_expired,certification_revocation_status,label
41,55,1,1,8.0,0,2,1,78,0,1,1,48,1,1,1,1,1,1,1,1,1,0
42,40,0,0,1.0,3,6,0,4,0,0,5,345,0,0,0,0,0,0,0,0,0,1
43,19,1,1,6.0,4,7,1,254,0,1,1,178,1,1,1,1,1,1,1,1,1,0
44,27,1,1,1.0,1,5,1,254,0,1,1,13,1,1,1,1,1,1,1,1,1,0
45,20,0,0,1.98,3,9,0,5,0,0,5,444,0,0,0,0,0,0,0,0,0,1
46,47,1,1,7.0,1,1,1,70,0,1,1,88,1,1,1,1,1,1,1,1,1,0
47,32,0,0,2.0,5,6,0,0,0,0,1,94,0,0,0,0,0,0,0,0,0,1
48,16,0,0,4.0,1,0,0,230,0,0,1,13,0,0,0,0,0,0,0,0,0,1
49,19,1,1,8.0,2,1,1,2,0,1,5,71,1,1,1,1,1,1,1,1,1,0
50,38,0,0,3.0,0,9,0,5,0,0,8,187,0,0,0,0,0,0,0,0,0,1
51,30,1,1,7.0,2,2,1,78,0,1,1,48,1,1,1,1,1,1,1,1,1,0
52,28,1,1,6.0,0,8,1,79,0,1,1,66,1,1,1,1,1,1,1,1,1,0
53,38,0,0,3.0,0,9,0,2,0,0,6,654,0,0,0,0,0,0,0,0,0,1
54,20,1,1,4.0,1,2,1,1,0,1,1,99,1,1,1,1,1,1,1,1,1,0
55,49,1,1,7.0,1,0,1,66,0,1,2,63,1,1,1,1,1,1,1,1,1,0
56,18,1,1,1.0,1,6,1,4,0,1,5,136,1,1,1,1,1,1,1,1,1,0
57,18,0,0,3.0,0,5,0,94,0,0,1,345,0,0,0,0,0,0,0,0,0,1
58,73,1,1,5.0,1,1,1,61,0,1,1,624,1,1,1,1,1,1,1,1,1,0
59,40,0,0,0.0,1,9,0,6,0,0,7,298,0,0,0,0,0,0,0,0,0,1
60,20,1,1,2.0,4,8,1,46,0,1,5,57,1,1,1,1,1,1,1,1,1,0
61,29,0,0,3.0,4,6,0,3,0,0,3,164,0,0,0,0,0,0,0,0,0,1
62,78,1,1,8.0,1,1,1,230,0,1,1,96,1,1,1,1,1,1,1,1,1,0
63,43,0,0,1.0,2,5,0,5,0,0,4,167,0,0,0,0,0,0,0,0,0,1
64,13,1,1,4.0,2,1,1,6,0,1,1,345,1,1,1,1,1,1,1,1,1,0
65,26,0,0,4.0,2,5,0,6,0,0,4,156,0,0,0,0,0,0,0,0,0,1
66,53,0,0,2.0,2,9,0,5,0,0,5,444,0,0,0,0,0,0,0,0,0,1
67,22,0,0,3.0,4,8,0,6,0,0,5,357,0,0,0,0,0,0,0,0,0,1
68,26,0,0,2.0,1,7,0,6,0,0,6,111,0,0,0,0,0,0,0,0,0,1
69,65,1,1,7.0,1,7,1,170,0,1,1,97,1,1,1,1,1,1,1,1,1,0
70,40,0,0,2.0,1,9,0,5,0,0,8,187,0,0,0,0,0,0,0,0,0,1
71,42,1,1,11.0,1,1,1,914,0,1,4,57,1,1,1,1,1,1,1,1,1,0
72,78,1,1,9.0,1,0,1,270,0,1,1,75,1,1,1,1,1,1,1,1,1,0
73,44,0,0,0.0,1,9,0,2,0,0,6,654,0,0,0,0,0,0,0,0,0,1
74,40,0,0,2.0,5,8,0,4,0,0,4,845,0,0,0,0,0,0,0,0,0,1
75,46,0,0,3.0,1,6,0,2,0,0,9,132,0,0,0,0,0,0,0,0,0,1
76,51,0,0,1.0,1,7,0,6,0,0,4,165,0,0,0,0,0,0,0,0,0,1
77,15,0,0,2.6,4,8,0,3,0,0,4,135,0,0,0,0,0,0,0,0,0,1
78,21,0,0,4.0,1,6,0,4,0,0,5,345,0,0,0,0,0,0,0,0,0,1
79,40,0,0,0.0,0,4,0,4,0,0,6,164,0,0,0,0,0,0,0,0,0,1
80,38,1,1,15.0,1,2,1,230,0,1,1,96,1,1,1,1,1,1,1,1,1,0
81,18,1,1,2.0,4,2,1,32,0,1,8,57,1,1,1,1,1,1,1,1,1,0
82,26,0,0,1.0,1,9,0,5,0,0,5,444,0,0,0,0,0,0,0,0,0,1
83,19,0,0,6.0,3,0,0,79,0,0,1,179,0,0,0,0,0,0,0,0,0,1
84,44,1,1,11.0,1,2,1,46,0,1,2,66,1,1,1,1,1,1,1,1,1,0
85,43,1,1,11.0,0,2,1,100,0,1,2,99,1,1,1,1,1,1,1,1,1,0
86,26,1,1,10.0,1,4,1,287,0,1,1,54,1,1,1,1,1,1,1,1,1,0
87,46,1,1,7.0,1,1,1,100,0,1,1,55,1,1,1,1,1,1,1,1,1,0
88,45,0,0,6.0,3,4,0,4,0,0,6,164,0,0,0,0,0,0,0,0,0,1
89,46,0,0,1.0,0,9,0,1,0,0,6,156,0,0,0,0,0,0,0,0,0,1
90,59,1,1,11.0,1,1,1,5,0,1,5,179,1,1,1,1,1,1,1,1,1,0
91,45,0,0,2.0,2,7,0,2,0,0,5,258,0,0,0,0,0,0,0,0,0,1
92,24,0,0,2.0,1,7,0,1,0,0,1,89,0,0,0,0,0,0,0,0,0,1
93,46,1,1,9.0,1,0,1,76,0,1,1,16,1,1,1,1,1,1,1,1,1,0
94,40,0,0,1.0,2,8,0,3,0,0,4,135,0,0,0,0,0,0,0,0,0,1
95,19,1,1,1.0,2,1,1,79,0,1,1,13,1,1,1,1,1,1,1,1,1,0
96,31,0,0,1.0,3,0,0,12,0,0,1,254,0,0,0,0,0,0,0,0,0,1
97,39,0,0,3.0,2,9,0,5,0,0,5,195,0,0,0,0,0,0,0,0,0,1
98,21,0,0,5.0,1,5,0,5,0,0,4,167,0,0,0,0,0,0,0,0,0,1
99,24,0,0,2.0,3,6,0,4,0,0,4,357,0,0,0,0,0,0,0,0,0,1
100,49,0,0,3.0,2,7,0,3,0,0,4,222,0,0,0,0,0,0,0,0,0,1
101,39,0,0,1.0,1,6,0,4,0,0,4,357,0,0,0,0,0,0,0,0,0,1
102,41,0,0,4.0,1,8,0,4,0,0,4,845,0,0,0,0,0,0,0,0,0,1
103,42,0,0,3.0,1,6,0,4,0,0,5,345,0,0,0,0,0,0,0,0,0,1
104,12,0,0,1.0,1,6,0,1,0,0,7,88,0,0,0,0,0,0,0,0,0,1
105,44,0,0,1.0,1,7,0,2,0,0,5,258,0,0,0,0,0,0,0,0,0,1
106,78,1,1,10.0,1,0,1,70,0,1,1,88,1,1,1,1,1,1,1,1,1,0
107,27,1,1,6.0,1,0,1,798,0,1,1,82,1,1,1,1,1,1,1,1,1,0
108,45,1,1,5.0,3,1,1,6,0,1,9,88,1,1,1,1,1,1,1,1,1,0
109,20,0,0,0.0,1,0,0,4,0,0,1,179,0,0,0,0,0,0,0,0,0,1
110,44,0,0,3.0,2,7,0,6,0,0,4,165,0,0,0,0,0,0,0,0,0,1
111,29,1,0,2.0,1,9,0,1,0,0,4,13,0,0,0,0,0,0,0,0,0,1
112,30,1,1,1.0,4,0,1,79,0,1,2,198,1,1,1,1,1,1,1,1,1,0
113,53,0,0,3.0,0,7,0,1,0,0,5,624,0,0,0,0,0,0,0,0,0,1
114,32,0,0,2.0,2,7,0,5,0,0,5,156,0,0,0,0,0,0,0,0,0,1
115,19,1,1,10.0,1,5,1,2,0,1,6,79,1,1,1,1,1,1,1,1,1,0
116,16,0,0,3.0,2,9,0,6,0,0,7,298,0,0,0,0,0,0,0,0,0,1
117,32,0,0,4.0,2,5,0,5,0,0,3,101,0,0,0,0,0,0,0,0,0,1
118,39,0,0,5.0,2,9,0,1,0,0,5,179,0,0,0,0,0,0,0,0,0,1
119,40,0,0,3.0,1,9,0,5,0,0,8,147,0,0,0,0,0,0,0,0,0,1
120,43,1,1,15.0,4,2,1,79,0,1,2,198,1,1,1,1,1,1,1,1,1,0
121,37,1,1,10.0,2,0,1,64,0,1,1,65,1,1,1,1,1,1,1,1,1,0
122,41,0,0,2.0,2,6,0,5,0,0,7,224,0,0,0,0,0,0,0,0,0,1
123,22,1,1,5.0,0,2,1,75,0,1,2,75,1,1,0,1,1,1,0,1,1,0
124,17,0,0,2.0,1,8,0,0,0,0,4,254,0,0,0,0,0,0,0,0,0,1
125,48,1,1,5.0,1,1,1,3,0,1,2,99,1,1,1,1,1,1,1,1,1,0
126,27,0,0,2.0,2,8,0,4,0,0,4,845,0,0,0,0,0,0,0,0,0,1
127,30,0,0,5.0,2,1,0,230,0,0,5,345,0,0,0,0,0,0,0,0,0,1
128,40,0,0,1.0,3,6,0,2,0,0,6,189,0,0,0,0,0,0,0,0,0,1
129,54,0,0,1.0,4,9,0,5,0,0,5,444,0,0,0,0,0,0,0,0,0,1
130,71,1,1,5.0,4,1,1,61,0,1,6,88,1,1,1,1,1,1,1,1,1,0
131,38,0,0,2.0,2,8,0,5,0,0,5,254,0,0,0,0,0,0,0,0,0,1
132,37,0,0,1.0,2,7,0,5,0,0,4,135,0,0,0,0,0,0,0,0,0,1
133,64,1,1,9.0,1,0,1,4,0,1,2,94,1,1,1,1,1,1,1,1,1,0
134,21,0,0,4.0,4,7,0,5,0,0,4,135,0,0,0,0,0,0,0,0,0,1
135,47,1,1,8.0,1,2,1,77,0,1,1,31,1,1,1,1,1,1,1,1,1,0
136,31,1,1,7.0,2,1,1,79,0,1,1,13,1,1,1,1,1,1,1,1,1,0
137,25,0,0,1.0,3,6,0,2,0,0,8,598,0,0,0,0,0,0,0,0,0,1
138,26,1,1,3.0,5,2,1,0,0,1,1,105,1,1,1,1,1,1,1,1,1,0
139,40,0,0,2.0,1,8,0,6,0,0,5,357,0,0,0,0,0,0,0,0,0,1
140,40,0,0,0.0,1,9,0,5,0,0,8,187,0,0,0,0,0,0,0,0,0,1
141,42,1,1,11.0,1,1,1,339,0,1,1,79,1,1,1,1,1,1,1,1,1,0
142,24,1,1,8.0,1,0,1,64,0,1,1,65,1,1,1,1,1,1,1,1,1,0
143,36,1,1,5.9,1,1,1,5,0,1,8,79,1,1,1,1,1,1,1,1,1,0
144,65,1,1,11.0,1,0,1,0,0,1,1,79,1,1,1,1,1,1,1,1,1,0
145,48,1,1,9.0,0,3,1,270,0,1,1,75,1,1,1,1,1,1,1,1,1,0
146,29,1,1,9.0,1,1,1,2,0,1,5,179,1,1,1,1,1,1,1,1,1,0
147,42,0,0,0.0,1,6,0,2,0,0,9,132,0,0,0,0,0,0,0,0,0,1
148,45,0,0,1.0,4,7,0,5,0,0,4,135,0,0,0,0,0,0,0,0,0,1
149,23,0,0,2.0,5,7,0,3,0,0,4,222,0,0,0,0,0,0,0,0,0,1
150,36,1,1,8.0,0,5,1,2,0,1,4,57,1,1,1,1,1,1,1,1,1,0
151,23,1,1,7.0,4,1,1,2,0,1,5,178,1,1,1,1,1,1,1,1,1,0
152,39,0,0,8.0,1,7,0,3,0,0,7,268,0,0,0,0,0,0,0,0,0,1
153,30,0,0,3.0,2,1,0,16,0,0,2,105,0,0,0,0,0,0,0,0,0,1
154,26,1,1,7.0,1,0,1,66,0,1,2,63,0,1,1,1,1,1,1,0,1,0
155,54,1,1,10.0,1,1,1,2,0,1,4,136,1,1,1,1,1,1,1,1,1,0
156,20,0,0,1.0,1,4,0,32,0,0,1,178,0,0,0,0,0,0,0,0,0,1
157,40,0,0,1.0,1,8,0,5,0,0,5,254,0,0,0,0,0,0,0,0,0,1
158,38,0,0,1.0,1,6,0,5,0,0,7,224,0,0,0,0,0,0,0,0,0,1
159,34,0,0,2.0,1,7,0,2,0,0,9,756,0,0,0,0,0,0,0,0,0,1
160,54,1,1,7.0,2,1,1,61,0,1,4,23,1,1,1,1,1,1,1,1,1,0
161,29,1,1,15.0,0,1,1,34,0,1,1,46,1,1,1,1,1,1,1,1,1,0
162,28,1,1,11.0,1,1,1,914,0,1,4,57,1,1,1,1,1,1,1,1,1,0
163,64,1,1,11.0,2,1,1,32,0,1,1,79,1,1,1,1,1,1,1,1,1,0
164,26,1,1,9.0,1,0,1,56,0,1,1,46,1,1,1,1,1,1,1,1,1,0
165,25,0,0,2.0,1,9,0,5,0,0,8,187,0,0,0,0,0,0,0,0,0,1
166,31,1,1,7.0,1,1,1,2,0,1,3,254,1,1,1,1,1,1,1,1,1,0
167,50,0,0,3.0,0,7,0,6,0,0,4,165,0,0,0,0,0,0,0,0,0,1
168,25,0,0,1.0,2,2,0,79,0,0,2,88,0,0,0,0,0,0,0,0,0,1
169,41,1,1,7.0,2,0,1,5,0,1,1,71,1,1,1,1,1,1,1,1,1,0
170,36,1,1,5.0,4,3,1,68,0,1,1,58,1,1,1,1,1,1,1,1,1,0
171,30,1,1,8.0,1,0,1,12,0,1,6,79,1,1,1,1,1,1,1,1,1,0
172,54,1,1,7.0,1,2,1,79,0,1,3,105,1,1,1,1,1,1,1,1,1,0
173,29,0,0,3.0,4,8,0,4,0,0,4,845,0,0,0,0,0,0,0,0,0,1
174,40,0,0,2.0,1,6,0,2,0,0,6,189,0,0,0,0,0,0,0,0,0,1
175,25,0,0,3.0,0,9,0,5,0,0,5,195,0,0,0,0,0,0,0,0,0,1
176,53,0,0,4.0,1,0,0,0,0,0,3,624,0,0,0,0,0,0,0,0,0,1
177,40,0,0,1.0,2,5,0,5,0,0,4,167,0,0,0,0,0,0,0,0,0,1
178,62,1,1,4.0,2,1,1,2,0,1,3,624,1,1,1,1,1,1,1,1,1,0
179,31,0,0,4.0,2,9,0,6,0,0,6,105,0,0,0,0,0,0,0,0,0,1
180,34,1,1,5.0,4,6,1,4,0,1,5,136,1,1,1,1,1,1,1,1,1,0
181,40,0,0,6.0,1,6,0,5,0,0,7,224,0,0,0,0,0,0,0,0,0,1
182,41,0,0,1.0,1,8,0,3,0,0,4,135,0,0,0,0,0,0,0,0,0,1
183,78,1,1,10.0,1,0,1,60,0,1,2,87,1,1,1,1,1,1,1,1,1,0
184,23,1,1,8.0,1,0,1,50,0,1,2,99,1,1,1,1,1,1,1,1,1,0
185,31,1,1,6.0,1,2,1,75,0,1,2,75,1,1,1,1,1,1,1,1,1,0
186,31,0,0,3.0,2,7,0,6,0,1,5,127,0,0,0,0,0,0,0,0,0,1
187,28,0,0,3.0,1,0,0,94,0,0,3,94,0,0,0,0,0,0,0,0,0,1
188,72,1,1,8.0,3,2,1,94,0,1,8,136,1,1,1,1,1,1,1,1,1,0
189,17,0,0,3.0,0,0,0,32,0,0,2,89,0,0,0,0,0,0,0,0,0,1
190,19,1,1,8.0,0,2,1,34,0,1,1,44,1,1,1,1,1,1,1,1,1,0
191,40,0,0,8.0,1,8,0,4,0,0,4,111,0,0,0,0,0,0,0,0,0,1
192,27,0,0,6.0,1,8,0,0,0,0,5,756,0,0,0,0,0,0,0,0,0,1
193,18,1,1,4.0,4,8,1,914,0,1,3,254,1,1,1,1,1,1,1,1,1,0
194,23,1,1,6.0,1,1,1,91,0,1,1,32,1,1,1,1,1,1,1,1,1,0
195,40,0,0,2.0,1,3,0,3,0,0,7,271,0,0,0,0,0,0,0,0,0,1
196,48,1,1,11.0,1,2,1,2,0,1,5,136,1,1,1,1,1,1,1,1,1,0
197,11,0,0,2.9,4,7,0,3,0,0,7,268,0,0,0,0,0,0,0,0,0,1
198,27,0,0,6.0,1,7,0,2,0,0,5,258,0,0,0,0,0,0,0,0,0,1
199,44,1,1,15.0,0,1,1,5,0,1,2,99,1,1,1,1,1,1,1,1,1,0
200,45,1,1,5.0,1,1,1,339,0,1,1,79,1,1,1,1,1,1,1,1,1,0
201,25,0,0,1.0,0,8,0,2,0,0,4,88,0,0,0,0,0,0,0,0,0,1
202,20,1,1,4.0,1,6,1,32,0,1,3,44,1,1,1,1,1,1,1,1,1,0
203,42,0,0,3.0,2,3,0,3,0,0,7,271,0,0,0,0,0,0,0,0,0,1
204,34,0,0,1.0,2,8,0,46,0,0,3,756,0,0,0,0,0,0,0,0,0,1
205,26,1,1,9.0,1,1,0,230,0,1,1,96,1,1,1,1,1,1,1,1,1,0
206,30,1,1,7.0,1,5,1,68,0,1,4,13,1,1,1,1,1,1,1,1,1,0
207,47,1,1,9.5,2,2,1,94,0,1,1,84,1,1,1,1,1,1,1,1,1,0
208,19,1,1,5.0,0,2,1,46,0,1,1,71,1,1,1,1,1,1,1,1,1,0
209,22,1,1,8.0,2,2,1,76,0,1,3,76,1,1,1,1,1,1,1,1,1,0
210,28,0,0,2.6,2,9,0,1,0,0,6,156,0,0,0,0,0,0,0,0,0,1
211,52,1,1,9.0,5,2,1,2,0,1,4,198,1,1,1,1,1,1,1,1,1,0
212,20,0,0,5.0,2,3,0,3,0,0,7,271,0,0,0,0,0,0,0,0,0,1
213,40,0,0,3.0,2,9,0,1,0,0,5,179,0,0,0,0,0,0,0,0,0,1
214,19,0,0,2.0,1,5,0,6,0,0,2,136,0,0,0,0,0,0,0,0,0,1
215,24,1,1,6.0,2,5,1,16,0,1,4,57,1,1,1,1,1,1,1,1,1,0
216,17,1,1,2.0,2,8,1,2,0,1,5,179,1,1,1,1,1,1,1,1,1,0
217,38,1,1,7.0,4,2,1,254,0,1,1,13,1,1,1,1,1,1,1,1,1,0
218,53,0,0,2.0,1,2,0,6,0,0,8,135,0,0,0,0,0,0,0,0,0,1
219,26,1,1,12.0,1,2,1,84,0,1,1,14,1,1,1,1,1,1,1,1,1,0
220,19,0,0,1.0,3,7,0,1,0,0,5,624,0,0,0,0,0,0,0,0,0,1
221,45,0,0,3.0,0,7,0,2,0,0,5,258,0,0,0,0,0,0,0,0,0,1
222,78,1,1,12.0,1,1,1,120,0,1,1,76,1,1,1,1,1,1,1,1,1,0
223,85,1,1,12.0,2,2,1,56,0,1,1,46,1,1,1,1,1,1,1,1,1,0
224,28,0,0,5.0,1,0,0,4,0,0,3,44,0,0,0,0,0,0,0,0,0,1
225,40,0,0,6.0,1,9,0,1,0,0,6,156,0,0,0,0,0,0,0,0,0,1
226,24,0,0,1.0,4,8,0,3,0,0,4,135,0,0,0,0,0,0,0,0,0,1
227,30,1,1,7.0,1,1,1,32,0,1,3,35,1,1,1,1,1,1,1,1,1,0
228,40,0,0,2.0,1,3,0,3,0,0,7,271,0,0,0,0,0,0,0,0,0,1
229,21,0,0,1.78,5,9,0,1,0,0,5,179,0,0,0,0,0,0,0,0,0,1
230,32,1,1,8.0,1,1,1,94,0,1,8,79,1,1,1,1,1,1,1,1,1,0
231,15,1,1,3.0,2,9,1,94,0,1,4,94,1,1,1,1,1,1,1,1,1,0
232,17,1,1,1.0,1,2,1,12,0,1,7,345,1,1,1,1,1,1,1,1,1,0
233,71,1,1,10.0,1,1,1,61,0,1,3,44,1,1,1,1,1,1,1,1,1,0
234,37,0,0,8.0,1,5,0,5,0,0,4,167,0,0,0,0,0,0,0,0,0,1
235,25,1,1,15.0,1,1,1,100,0,1,2,99,1,1,1,1,1,1,1,1,1,0
236,35,0,0,4.0,1,6,0,4,0,0,5,345,0,0,0,0,0,0,0,0,0,1
237,40,0,0,2.0,1,8,0,6,0,0,5,357,0,0,0,0,0,0,0,0,0,1
238,24,0,0,2.0,1,1,0,5,0,0,1,71,0,0,0,0,0,0,0,0,0,1
239,16,0,0,5.0,3,9,0,2,0,0,6,654,0,0,0,0,0,0,0,0,0,1
240,89,1,1,9.0,1,0,1,1,0,1,1,99,1,1,1,1,1,1,1,1,1,0
241,30,1,1,10.0,1,0,1,170,0,1,1,97,1,1,1,1,1,1,1,1,1,0
242,15,1,1,3.0,1,2,1,4,0,1,1,89,1,1,1,1,1,1,1,1,1,0
243,51,1,1,5.0,1,8,1,5,0,1,3,624,1,1,1,1,1,1,1,1,1,0
244,60,1,1,8.0,1,2,1,2,0,1,1,624,1,1,1,1,1,1,1,1,1,0
245,34,1,1,6.0,1,0,1,56,0,1,1,46,1,1,1,1,1,1,1,1,1,0
246,27,0,0,5.0,2,6,0,4,0,0,5,345,0,0,0,0,0,0,0,0,0,1
247,38,0,0,2.0,1,7,0,6,0,0,4,165,0,0,0,0,0,0,0,0,0,1
248,20,1,1,4.0,2,5,1,3,0,1,9,44,1,1,1,1,1,1,1,1,1,0
249,41,0,0,1.0,2,9,0,6,0,0,7,298,0,0,0,0,0,0,0,0,0,1
250,27,0,0,4.99,3,8,0,1,0,0,7,852,0,0,0,0,0,0,0,0,0,1
251,40,0,0,1.0,0,7,0,2,0,0,9,756,0,0,0,0,0,0,0,0,0,1
252,40,0,0,0.0,1,8,0,4,0,0,4,111,0,0,0,0,0,0,0,0,0,1
253,40,0,0,1.0,0,6,0,2,0,0,6,189,0,0,0,0,0,0,0,0,0,1
254,44,0,0,2.0,1,2,0,6,0,0,8,135,0,0,0,0,0,0,0,0,0,1
255,24,0,0,0.0,0,6,0,5,0,0,3,32,0,0,0,0,0,0,0,0,0,1
256,22,0,0,0.0,1,8,0,1,0,0,7,852,0,0,0,0,0,0,0,0,0,1
257,18,0,0,4.0,2,6,0,5,0,0,7,224,0,0,0,0,0,0,0,0,0,1
258,24,1,1,11.0,1,0,1,60,0,1,2,87,1,1,1,1,1,1,1,1,1,0
259,21,1,1,0.0,0,3,1,61,0,1,1,624,1,1,1,1,1,1,1,1,1,0
260,52,0,0,1.0,2,7,0,2,0,0,9,756,0,0,0,0,0,0,0,0,0,1
261,21,0,0,2.0,1,0,0,6,0,0,1,57,0,0,0,0,0,0,0,0,0,1
262,31,1,1,9.0,2,3,1,914,0,1,4,94,1,1,1,1,1,1,1,1,1,0
263,21,0,0,1.0,2,6,0,4,0,0,4,357,0,0,0,0,0,0,0,0,0,1
264,42,0,0,4.0,1,6,0,2,0,0,8,598,0,0,0,0,0,0,0,0,0,1
265,40,0,0,3.0,2,9,0,1,0,0,6,156,0,0,0,0,0,0,0,0,0,1
266,20,1,1,8.0,2,1,1,100,0,1,1,55,1,1,1,1,1,1,1,1,1,0
267,37,1,0,5.0,2,0,0,1,0,0,3,89,0,0,0,0,0,0,0,0,0,1
268,40,0,0,5.0,2,7,0,6,0,0,6,111,0,0,0,0,0,0,0,0,0,1
269,83,1,1,8.0,1,2,1,1,0,1,2,71,1,1,1,1,1,1,1,1,1,0
270,44,0,0,2.0,1,9,0,5,0,0,8,187,0,0,0,0,0,0,0,0,0,1
271,23,1,1,7.0,1,1,1,34,0,1,1,46,1,1,1,1,1,1,1,1,1,0
272,40,0,0,5.0,2,9,0,1,0,0,6,156,0,0,0,0,0,0,0,0,0,1
273,43,0,0,5.0,2,6,0,2,0,0,9,132,0,0,0,0,0,0,0,0,0,1
274,38,1,1,9.0,4,1,1,2,0,1,1,79,1,1,1,1,1,1,1,1,1,0
275,41,0,0,4.0,3,7,0,4,0,0,6,168,0,0,0,0,0,0,0,0,0,1
276,21,1,1,1.0,5,5,1,2,0,1,3,178,1,1,1,1,1,1,1,1,1,0
277,28,1,1,6.0,1,1,1,94,0,1,8,136,1,1,1,1,1,1,1,1,1,0
278,58,1,1,8.0,1,0,1,4,0,1,4,79,1,1,1,1,1,1,1,1,1,0
279,18,1,1,1.0,3,6,1,5,0,1,4,136,1,1,1,1,1,1,1,1,1,0
280,55,1,1,7.0,1,1,1,55,0,1,3,51,1,1,1,1,1,1,1,1,1,0
281,40,0,0,3.0,2,5,0,2,0,0,3,157,0,0,0,0,0,0,0,0,0,1
282,39,0,0,4.0,3,8,0,4,0,0,9,179,0,0,0,0,0,0,0,0,0,1
283,29,1,1,8.0,1,1,1,12,0,1,5,13,1,1,1,1,1,1,1,1,1,0
284,17,1,1,3.0,1,1,1,12,0,1,5,13,1,1,1,1,1,1,1,1,1,0
